,Date,3,index,County
64,,0.0,New Probable 2021-01-03,3.0
65,,0.0,New Probable 2021-01-04,3.0
66,,46.0,New Probable 2021-01-05,3.0
67,,17.0,New Probable 2021-01-06,3.0
68,,21.0,New Probable 2021-01-07,3.0
69,,0.0,New Probable 2021-01-08,3.0
70,,28.0,New Probable 2021-01-09,3.0
71,,0.0,New Probable 2021-01-10,3.0
72,,0.0,New Probable 2021-01-11,3.0
73,,0.0,New Probable 2021-01-12,3.0
74,,46.0,New Probable 2021-01-13,3.0
75,,0.0,New Probable 2021-01-14,3.0
76,,29.0,New Probable 2021-01-15,3.0
77,,0.0,New Probable 2021-01-16,3.0
78,,13.0,New Probable 2021-01-17,3.0
79,,0.0,New Probable 2021-01-18,3.0
80,,0.0,New Probable 2021-01-19,3.0
81,,50.0,New Probable 2021-01-20,3.0
82,,4.0,New Probable 2021-01-21,3.0
83,,0.0,New Probable 2021-01-22,3.0
84,,10.0,New Probable 2021-01-23,3.0
85,,9.0,New Probable 2021-01-24,3.0
86,,0.0,New Probable 2021-01-25,3.0
87,,0.0,New Probable 2021-01-26,3.0
88,,14.0,New Probable 2021-01-27,3.0
89,,6.0,New Probable 2021-01-28,3.0
90,,13.0,New Probable 2021-01-29,3.0
91,,0.0,New Probable 2021-01-30,3.0
92,,3.0,New Probable 2021-01-31,3.0
93,,0.0,New Probable 2021-02-01,3.0
94,,0.0,New Probable 2021-02-02,3.0
95,,5.0,New Probable 2021-02-03,3.0
96,,0.0,New Probable 2021-02-04,3.0
97,,25.0,New Probable 2021-02-05,3.0
98,,0.0,New Probable 2021-02-06,3.0
99,,0.0,New Probable 2021-02-07,3.0
100,,18.0,New Probable 2021-02-08,3.0
101,,4.0,New Probable 2021-02-09,3.0
102,,0.0,New Probable 2021-02-10,3.0
103,,0.0,New Probable 2021-02-11,3.0
104,,8.0,New Probable 2021-02-12,3.0
105,,0.0,New Probable 2021-02-13,3.0
106,,4.0,New Probable 2021-02-14,3.0
107,,0.0,New Probable 2021-02-15,3.0
108,,0.0,New Probable 2021-02-16,3.0
109,,0.0,New Probable 2021-02-17,3.0
110,,0.0,New Probable 2021-02-18,3.0
111,,3.0,New Probable 2021-02-19,3.0
112,,0.0,New Probable 2021-02-20,3.0
113,,1.0,New Probable 2021-02-21,3.0
114,,0.0,New Probable 2021-02-22,3.0
115,,0.0,New Probable 2021-02-23,3.0
116,,1.0,New Probable 2021-02-24,3.0
117,,0.0,New Probable 2021-02-25,3.0
118,,4.0,New Probable 2021-02-26,3.0
119,,5.0,New Probable 2021-02-27,3.0
120,,0.0,New Probable 2021-02-28,3.0
121,,0.0,New Probable 2021-03-01,3.0
122,,0.0,New Probable 2021-03-02,3.0
123,,11.0,New Probable 2021-03-03,3.0
124,,0.0,New Probable 2021-03-04,3.0
125,,6.0,New Probable 2021-03-05,3.0
126,,0.0,New Probable 2021-03-06,3.0
127,,0.0,New Probable 2021-03-07,3.0
128,,0.0,New Probable 2021-03-08,3.0
129,,-1.0,New Probable 2021-03-09,3.0
130,,1.0,New Probable 2021-03-10,3.0
131,,0.0,New Probable 2021-03-11,3.0
132,,5.0,New Probable 2021-03-12,3.0
133,,0.0,New Probable 2021-03-13,3.0
134,,3.0,New Probable 2021-03-14,3.0
135,,0.0,New Probable 2021-03-15,3.0
136,,1.0,New Probable 2021-03-16,3.0
137,,0.0,New Probable 2021-03-17,3.0
138,,0.0,New Probable 2021-03-18,3.0
139,,3.0,New Probable 2021-03-19,3.0
140,,0.0,New Probable 2021-03-20,3.0
141,,0.0,New Probable 2021-03-21,3.0
142,,0.0,New Probable 2021-03-22,3.0
143,,1.0,New Probable 2021-03-23,3.0
144,,2.0,New Probable 2021-03-24,3.0
145,,0.0,New Probable 2021-03-25,3.0
146,,4.0,New Probable 2021-03-26,3.0
147,,0.0,New Probable 2021-03-27,3.0
148,,0.0,New Probable 2021-03-28,3.0
149,,0.0,New Probable 2021-03-29,3.0
150,,0.0,New Probable 2021-03-30,3.0
151,,9.0,New Probable 2021-03-31,3.0
152,,0.0,New Probable 2021-04-01,3.0
153,,5.0,New Probable 2021-04-02,3.0
154,,0.0,New Probable 2021-04-03,3.0
155,,0.0,New Probable 2021-04-04,3.0
156,,0.0,New Probable 2021-04-05,3.0
157,,4.0,New Probable 2021-04-06,3.0
158,,0.0,New Probable 2021-04-07,3.0
159,,0.0,New Probable 2021-04-08,3.0
160,,0.0,New Probable 2021-04-09,3.0
161,,15.0,New Probable 2021-04-10,3.0
162,,0.0,New Probable 2021-04-11,3.0
163,,0.0,New Probable 2021-04-12,3.0
164,,2.0,New Probable 2021-04-13,3.0
165,,0.0,New Probable 2021-04-14,3.0
166,,0.0,New Probable 2021-04-15,3.0
167,,7.0,New Probable 2021-04-16,3.0
168,,0.0,New Probable 2021-04-17,3.0
169,,0.0,New Probable 2021-04-18,3.0
170,,0.0,New Probable 2021-04-19,3.0
171,,0.0,New Probable 2021-04-20,3.0
172,,5.0,New Probable 2021-04-21,3.0
173,,0.0,New Probable 2021-04-22,3.0
174,,5.0,New Probable 2021-04-23,3.0
175,,0.0,New Probable 2021-04-24,3.0
176,,0.0,New Probable 2021-04-25,3.0
177,,0.0,New Probable 2021-04-26,3.0
178,,0.0,New Probable 2021-04-27,3.0
179,,3.0,New Probable 2021-04-28,3.0
180,,0.0,New Probable 2021-04-29,3.0
181,,17.0,New Probable 2021-04-30,3.0
182,,0.0,New Probable 2021-05-01,3.0
183,,0.0,New Probable 2021-05-02,3.0
184,,0.0,New Probable 2021-05-03,3.0
185,,0.0,New Probable 2021-05-04,3.0
0,,Anderson,County Name,3.0
1,,0.0,New Probable 2020-11-01,3.0
2,,0.0,New Probable 2020-11-02,3.0
3,,6.0,New Probable 2020-11-03,3.0
4,,0.0,New Probable 2020-11-04,3.0
5,,17.0,New Probable 2020-11-05,3.0
6,,24.0,New Probable 2020-11-06,3.0
7,,0.0,New Probable 2020-11-07,3.0
8,,1.0,New Probable 2020-11-08,3.0
9,,0.0,New Probable 2020-11-09,3.0
10,,11.0,New Probable 2020-11-10,3.0
11,,9.0,New Probable 2020-11-11,3.0
12,,14.0,New Probable 2020-11-12,3.0
13,,8.0,New Probable 2020-11-13,3.0
14,,0.0,New Probable 2020-11-14,3.0
15,,9.0,New Probable 2020-11-15,3.0
16,,0.0,New Probable 2020-11-16,3.0
17,,31.0,New Probable 2020-11-17,3.0
18,,11.0,New Probable 2020-11-18,3.0
19,,22.0,New Probable 2020-11-19,3.0
20,,10.0,New Probable 2020-11-20,3.0
21,,4.0,New Probable 2020-11-21,3.0
22,,0.0,New Probable 2020-11-22,3.0
23,,0.0,New Probable 2020-11-23,3.0
24,,4.0,New Probable 2020-11-24,3.0
25,,9.0,New Probable 2020-11-25,3.0
26,,9.0,New Probable 2020-11-26,3.0
27,,0.0,New Probable 2020-11-27,3.0
28,,0.0,New Probable 2020-11-28,3.0
29,,0.0,New Probable 2020-11-29,3.0
30,,0.0,New Probable 2020-11-30,3.0
31,,18.0,New Probable 2020-12-01,3.0
32,,5.0,New Probable 2020-12-02,3.0
33,,16.0,New Probable 2020-12-03,3.0
34,,33.0,New Probable 2020-12-04,3.0
35,,15.0,New Probable 2020-12-05,3.0
36,,0.0,New Probable 2020-12-06,3.0
37,,0.0,New Probable 2020-12-07,3.0
38,,15.0,New Probable 2020-12-08,3.0
39,,7.0,New Probable 2020-12-09,3.0
40,,14.0,New Probable 2020-12-10,3.0
41,,10.0,New Probable 2020-12-11,3.0
42,,15.0,New Probable 2020-12-12,3.0
43,,0.0,New Probable 2020-12-13,3.0
44,,0.0,New Probable 2020-12-14,3.0
45,,16.0,New Probable 2020-12-15,3.0
46,,3.0,New Probable 2020-12-16,3.0
47,,5.0,New Probable 2020-12-17,3.0
48,,7.0,New Probable 2020-12-18,3.0
49,,9.0,New Probable 2020-12-19,3.0
50,,0.0,New Probable 2020-12-20,3.0
51,,0.0,New Probable 2020-12-21,3.0
52,,21.0,New Probable 2020-12-22,3.0
53,,7.0,New Probable 2020-12-23,3.0
54,,12.0,New Probable 2020-12-24,3.0
55,,0.0,New Probable 2020-12-25,3.0
56,,0.0,New Probable 2020-12-26,3.0
57,,0.0,New Probable 2020-12-27,3.0
58,,0.0,New Probable 2020-12-28,3.0
59,,42.0,New Probable 2020-12-29,3.0
60,,10.0,New Probable 2020-12-30,3.0
61,,23.0,New Probable 2020-12-31,3.0
62,,19.0,New Probable 2021-01-01,3.0
63,,0.0,New Probable 2021-01-02,3.0
64,,0.0,New Probable 2021-01-03,3.0
65,,0.0,New Probable 2021-01-04,3.0
66,,46.0,New Probable 2021-01-05,3.0
67,,17.0,New Probable 2021-01-06,3.0
68,,21.0,New Probable 2021-01-07,3.0
69,,0.0,New Probable 2021-01-08,3.0
70,,28.0,New Probable 2021-01-09,3.0
71,,0.0,New Probable 2021-01-10,3.0
72,,0.0,New Probable 2021-01-11,3.0
73,,0.0,New Probable 2021-01-12,3.0
74,,46.0,New Probable 2021-01-13,3.0
75,,0.0,New Probable 2021-01-14,3.0
76,,29.0,New Probable 2021-01-15,3.0
77,,0.0,New Probable 2021-01-16,3.0
78,,13.0,New Probable 2021-01-17,3.0
79,,0.0,New Probable 2021-01-18,3.0
80,,0.0,New Probable 2021-01-19,3.0
81,,50.0,New Probable 2021-01-20,3.0
82,,4.0,New Probable 2021-01-21,3.0
83,,0.0,New Probable 2021-01-22,3.0
84,,10.0,New Probable 2021-01-23,3.0
85,,9.0,New Probable 2021-01-24,3.0
86,,0.0,New Probable 2021-01-25,3.0
87,,0.0,New Probable 2021-01-26,3.0
88,,14.0,New Probable 2021-01-27,3.0
89,,6.0,New Probable 2021-01-28,3.0
90,,13.0,New Probable 2021-01-29,3.0
91,,0.0,New Probable 2021-01-30,3.0
92,,3.0,New Probable 2021-01-31,3.0
93,,0.0,New Probable 2021-02-01,3.0
94,,0.0,New Probable 2021-02-02,3.0
95,,5.0,New Probable 2021-02-03,3.0
96,,0.0,New Probable 2021-02-04,3.0
97,,25.0,New Probable 2021-02-05,3.0
98,,0.0,New Probable 2021-02-06,3.0
99,,0.0,New Probable 2021-02-07,3.0
100,,18.0,New Probable 2021-02-08,3.0
101,,4.0,New Probable 2021-02-09,3.0
102,,0.0,New Probable 2021-02-10,3.0
103,,0.0,New Probable 2021-02-11,3.0
104,,8.0,New Probable 2021-02-12,3.0
105,,0.0,New Probable 2021-02-13,3.0
106,,4.0,New Probable 2021-02-14,3.0
107,,0.0,New Probable 2021-02-15,3.0
108,,0.0,New Probable 2021-02-16,3.0
109,,0.0,New Probable 2021-02-17,3.0
110,,0.0,New Probable 2021-02-18,3.0
111,,3.0,New Probable 2021-02-19,3.0
112,,0.0,New Probable 2021-02-20,3.0
113,,1.0,New Probable 2021-02-21,3.0
114,,0.0,New Probable 2021-02-22,3.0
115,,0.0,New Probable 2021-02-23,3.0
116,,1.0,New Probable 2021-02-24,3.0
117,,0.0,New Probable 2021-02-25,3.0
118,,4.0,New Probable 2021-02-26,3.0
119,,5.0,New Probable 2021-02-27,3.0
120,,0.0,New Probable 2021-02-28,3.0
121,,0.0,New Probable 2021-03-01,3.0
122,,0.0,New Probable 2021-03-02,3.0
123,,11.0,New Probable 2021-03-03,3.0
124,,0.0,New Probable 2021-03-04,3.0
125,,6.0,New Probable 2021-03-05,3.0
126,,0.0,New Probable 2021-03-06,3.0
127,,0.0,New Probable 2021-03-07,3.0
128,,0.0,New Probable 2021-03-08,3.0
129,,-1.0,New Probable 2021-03-09,3.0
130,,1.0,New Probable 2021-03-10,3.0
131,,0.0,New Probable 2021-03-11,3.0
132,,5.0,New Probable 2021-03-12,3.0
133,,0.0,New Probable 2021-03-13,3.0
134,,3.0,New Probable 2021-03-14,3.0
135,,0.0,New Probable 2021-03-15,3.0
136,,1.0,New Probable 2021-03-16,3.0
137,,0.0,New Probable 2021-03-17,3.0
138,,0.0,New Probable 2021-03-18,3.0
139,,3.0,New Probable 2021-03-19,3.0
140,,0.0,New Probable 2021-03-20,3.0
141,,0.0,New Probable 2021-03-21,3.0
142,,0.0,New Probable 2021-03-22,3.0
143,,1.0,New Probable 2021-03-23,3.0
144,,2.0,New Probable 2021-03-24,3.0
145,,0.0,New Probable 2021-03-25,3.0
146,,4.0,New Probable 2021-03-26,3.0
147,,0.0,New Probable 2021-03-27,3.0
148,,0.0,New Probable 2021-03-28,3.0
149,,0.0,New Probable 2021-03-29,3.0
150,,0.0,New Probable 2021-03-30,3.0
151,,9.0,New Probable 2021-03-31,3.0
152,,0.0,New Probable 2021-04-01,3.0
153,,5.0,New Probable 2021-04-02,3.0
154,,0.0,New Probable 2021-04-03,3.0
155,,0.0,New Probable 2021-04-04,3.0
156,,0.0,New Probable 2021-04-05,3.0
157,,4.0,New Probable 2021-04-06,3.0
158,,0.0,New Probable 2021-04-07,3.0
159,,0.0,New Probable 2021-04-08,3.0
160,,0.0,New Probable 2021-04-09,3.0
161,,15.0,New Probable 2021-04-10,3.0
162,,0.0,New Probable 2021-04-11,3.0
163,,0.0,New Probable 2021-04-12,3.0
164,,2.0,New Probable 2021-04-13,3.0
165,,0.0,New Probable 2021-04-14,3.0
166,,0.0,New Probable 2021-04-15,3.0
167,,7.0,New Probable 2021-04-16,3.0
168,,0.0,New Probable 2021-04-17,3.0
169,,0.0,New Probable 2021-04-18,3.0
170,,0.0,New Probable 2021-04-19,3.0
171,,0.0,New Probable 2021-04-20,3.0
172,,5.0,New Probable 2021-04-21,3.0
173,,0.0,New Probable 2021-04-22,3.0
174,,5.0,New Probable 2021-04-23,3.0
175,,0.0,New Probable 2021-04-24,3.0
176,,0.0,New Probable 2021-04-25,3.0
177,,0.0,New Probable 2021-04-26,3.0
178,,0.0,New Probable 2021-04-27,3.0
179,,3.0,New Probable 2021-04-28,3.0
180,,0.0,New Probable 2021-04-29,3.0
181,,17.0,New Probable 2021-04-30,3.0
182,,0.0,New Probable 2021-05-01,3.0
183,,0.0,New Probable 2021-05-02,3.0
184,,0.0,New Probable 2021-05-03,3.0
185,,0.0,New Probable 2021-05-04,3.0
0,,Anderson,County Name,3.0
1,,0.0,New Probable 2020-11-01,3.0
2,,0.0,New Probable 2020-11-02,3.0
3,,6.0,New Probable 2020-11-03,3.0
4,,0.0,New Probable 2020-11-04,3.0
5,,17.0,New Probable 2020-11-05,3.0
6,,24.0,New Probable 2020-11-06,3.0
7,,0.0,New Probable 2020-11-07,3.0
8,,1.0,New Probable 2020-11-08,3.0
9,,0.0,New Probable 2020-11-09,3.0
10,,11.0,New Probable 2020-11-10,3.0
11,,9.0,New Probable 2020-11-11,3.0
12,,14.0,New Probable 2020-11-12,3.0
13,,8.0,New Probable 2020-11-13,3.0
14,,0.0,New Probable 2020-11-14,3.0
15,,9.0,New Probable 2020-11-15,3.0
16,,0.0,New Probable 2020-11-16,3.0
17,,31.0,New Probable 2020-11-17,3.0
18,,11.0,New Probable 2020-11-18,3.0
19,,22.0,New Probable 2020-11-19,3.0
20,,10.0,New Probable 2020-11-20,3.0
21,,4.0,New Probable 2020-11-21,3.0
22,,0.0,New Probable 2020-11-22,3.0
23,,0.0,New Probable 2020-11-23,3.0
24,,4.0,New Probable 2020-11-24,3.0
25,,9.0,New Probable 2020-11-25,3.0
26,,9.0,New Probable 2020-11-26,3.0
27,,0.0,New Probable 2020-11-27,3.0
28,,0.0,New Probable 2020-11-28,3.0
29,,0.0,New Probable 2020-11-29,3.0
30,,0.0,New Probable 2020-11-30,3.0
31,,18.0,New Probable 2020-12-01,3.0
32,,5.0,New Probable 2020-12-02,3.0
33,,16.0,New Probable 2020-12-03,3.0
34,,33.0,New Probable 2020-12-04,3.0
35,,15.0,New Probable 2020-12-05,3.0
36,,0.0,New Probable 2020-12-06,3.0
37,,0.0,New Probable 2020-12-07,3.0
38,,15.0,New Probable 2020-12-08,3.0
39,,7.0,New Probable 2020-12-09,3.0
40,,14.0,New Probable 2020-12-10,3.0
41,,10.0,New Probable 2020-12-11,3.0
42,,15.0,New Probable 2020-12-12,3.0
43,,0.0,New Probable 2020-12-13,3.0
44,,0.0,New Probable 2020-12-14,3.0
45,,16.0,New Probable 2020-12-15,3.0
46,,3.0,New Probable 2020-12-16,3.0
47,,5.0,New Probable 2020-12-17,3.0
48,,7.0,New Probable 2020-12-18,3.0
49,,9.0,New Probable 2020-12-19,3.0
50,,0.0,New Probable 2020-12-20,3.0
51,,0.0,New Probable 2020-12-21,3.0
52,,21.0,New Probable 2020-12-22,3.0
53,,7.0,New Probable 2020-12-23,3.0
54,,12.0,New Probable 2020-12-24,3.0
55,,0.0,New Probable 2020-12-25,3.0
56,,0.0,New Probable 2020-12-26,3.0
57,,0.0,New Probable 2020-12-27,3.0
58,,0.0,New Probable 2020-12-28,3.0
59,,42.0,New Probable 2020-12-29,3.0
60,,10.0,New Probable 2020-12-30,3.0
61,,23.0,New Probable 2020-12-31,3.0
62,,19.0,New Probable 2021-01-01,3.0
63,,0.0,New Probable 2021-01-02,3.0
64,,0.0,New Probable 2021-01-03,3.0
65,,0.0,New Probable 2021-01-04,3.0
66,,46.0,New Probable 2021-01-05,3.0
67,,17.0,New Probable 2021-01-06,3.0
68,,21.0,New Probable 2021-01-07,3.0
69,,0.0,New Probable 2021-01-08,3.0
70,,28.0,New Probable 2021-01-09,3.0
71,,0.0,New Probable 2021-01-10,3.0
72,,0.0,New Probable 2021-01-11,3.0
73,,0.0,New Probable 2021-01-12,3.0
74,,46.0,New Probable 2021-01-13,3.0
75,,0.0,New Probable 2021-01-14,3.0
76,,29.0,New Probable 2021-01-15,3.0
77,,0.0,New Probable 2021-01-16,3.0
78,,13.0,New Probable 2021-01-17,3.0
79,,0.0,New Probable 2021-01-18,3.0
80,,0.0,New Probable 2021-01-19,3.0
81,,50.0,New Probable 2021-01-20,3.0
82,,4.0,New Probable 2021-01-21,3.0
83,,0.0,New Probable 2021-01-22,3.0
84,,10.0,New Probable 2021-01-23,3.0
85,,9.0,New Probable 2021-01-24,3.0
86,,0.0,New Probable 2021-01-25,3.0
87,,0.0,New Probable 2021-01-26,3.0
88,,14.0,New Probable 2021-01-27,3.0
89,,6.0,New Probable 2021-01-28,3.0
90,,13.0,New Probable 2021-01-29,3.0
91,,0.0,New Probable 2021-01-30,3.0
92,,3.0,New Probable 2021-01-31,3.0
93,,0.0,New Probable 2021-02-01,3.0
94,,0.0,New Probable 2021-02-02,3.0
95,,5.0,New Probable 2021-02-03,3.0
96,,0.0,New Probable 2021-02-04,3.0
97,,25.0,New Probable 2021-02-05,3.0
98,,0.0,New Probable 2021-02-06,3.0
99,,0.0,New Probable 2021-02-07,3.0
100,,18.0,New Probable 2021-02-08,3.0
101,,4.0,New Probable 2021-02-09,3.0
102,,0.0,New Probable 2021-02-10,3.0
103,,0.0,New Probable 2021-02-11,3.0
104,,8.0,New Probable 2021-02-12,3.0
105,,0.0,New Probable 2021-02-13,3.0
106,,4.0,New Probable 2021-02-14,3.0
107,,0.0,New Probable 2021-02-15,3.0
108,,0.0,New Probable 2021-02-16,3.0
109,,0.0,New Probable 2021-02-17,3.0
110,,0.0,New Probable 2021-02-18,3.0
111,,3.0,New Probable 2021-02-19,3.0
112,,0.0,New Probable 2021-02-20,3.0
113,,1.0,New Probable 2021-02-21,3.0
114,,0.0,New Probable 2021-02-22,3.0
115,,0.0,New Probable 2021-02-23,3.0
116,,1.0,New Probable 2021-02-24,3.0
117,,0.0,New Probable 2021-02-25,3.0
118,,4.0,New Probable 2021-02-26,3.0
119,,5.0,New Probable 2021-02-27,3.0
120,,0.0,New Probable 2021-02-28,3.0
121,,0.0,New Probable 2021-03-01,3.0
122,,0.0,New Probable 2021-03-02,3.0
123,,11.0,New Probable 2021-03-03,3.0
124,,0.0,New Probable 2021-03-04,3.0
125,,6.0,New Probable 2021-03-05,3.0
126,,0.0,New Probable 2021-03-06,3.0
127,,0.0,New Probable 2021-03-07,3.0
128,,0.0,New Probable 2021-03-08,3.0
129,,-1.0,New Probable 2021-03-09,3.0
130,,1.0,New Probable 2021-03-10,3.0
131,,0.0,New Probable 2021-03-11,3.0
132,,5.0,New Probable 2021-03-12,3.0
133,,0.0,New Probable 2021-03-13,3.0
134,,3.0,New Probable 2021-03-14,3.0
135,,0.0,New Probable 2021-03-15,3.0
136,,1.0,New Probable 2021-03-16,3.0
137,,0.0,New Probable 2021-03-17,3.0
138,,0.0,New Probable 2021-03-18,3.0
139,,3.0,New Probable 2021-03-19,3.0
140,,0.0,New Probable 2021-03-20,3.0
141,,0.0,New Probable 2021-03-21,3.0
142,,0.0,New Probable 2021-03-22,3.0
143,,1.0,New Probable 2021-03-23,3.0
144,,2.0,New Probable 2021-03-24,3.0
145,,0.0,New Probable 2021-03-25,3.0
146,,4.0,New Probable 2021-03-26,3.0
147,,0.0,New Probable 2021-03-27,3.0
148,,0.0,New Probable 2021-03-28,3.0
149,,0.0,New Probable 2021-03-29,3.0
150,,0.0,New Probable 2021-03-30,3.0
151,,9.0,New Probable 2021-03-31,3.0
152,,0.0,New Probable 2021-04-01,3.0
153,,5.0,New Probable 2021-04-02,3.0
154,,0.0,New Probable 2021-04-03,3.0
155,,0.0,New Probable 2021-04-04,3.0
156,,0.0,New Probable 2021-04-05,3.0
157,,4.0,New Probable 2021-04-06,3.0
158,,0.0,New Probable 2021-04-07,3.0
159,,0.0,New Probable 2021-04-08,3.0
160,,0.0,New Probable 2021-04-09,3.0
161,,15.0,New Probable 2021-04-10,3.0
162,,0.0,New Probable 2021-04-11,3.0
163,,0.0,New Probable 2021-04-12,3.0
164,,2.0,New Probable 2021-04-13,3.0
165,,0.0,New Probable 2021-04-14,3.0
166,,0.0,New Probable 2021-04-15,3.0
167,,7.0,New Probable 2021-04-16,3.0
168,,0.0,New Probable 2021-04-17,3.0
169,,0.0,New Probable 2021-04-18,3.0
170,,0.0,New Probable 2021-04-19,3.0
171,,0.0,New Probable 2021-04-20,3.0
172,,5.0,New Probable 2021-04-21,3.0
173,,0.0,New Probable 2021-04-22,3.0
174,,5.0,New Probable 2021-04-23,3.0
175,,0.0,New Probable 2021-04-24,3.0
176,,0.0,New Probable 2021-04-25,3.0
177,,0.0,New Probable 2021-04-26,3.0
178,,0.0,New Probable 2021-04-27,3.0
179,,3.0,New Probable 2021-04-28,3.0
180,,0.0,New Probable 2021-04-29,3.0
181,,17.0,New Probable 2021-04-30,3.0
182,,0.0,New Probable 2021-05-01,3.0
183,,0.0,New Probable 2021-05-02,3.0
184,,0.0,New Probable 2021-05-03,3.0
185,,0.0,New Probable 2021-05-04,3.0
0,,Anderson,County Name,3.0
1,,0.0,New Probable 2020-11-01,3.0
2,,0.0,New Probable 2020-11-02,3.0
3,,6.0,New Probable 2020-11-03,3.0
4,,0.0,New Probable 2020-11-04,3.0
5,,17.0,New Probable 2020-11-05,3.0
6,,24.0,New Probable 2020-11-06,3.0
7,,0.0,New Probable 2020-11-07,3.0
8,,1.0,New Probable 2020-11-08,3.0
9,,0.0,New Probable 2020-11-09,3.0
10,,11.0,New Probable 2020-11-10,3.0
11,,9.0,New Probable 2020-11-11,3.0
12,,14.0,New Probable 2020-11-12,3.0
13,,8.0,New Probable 2020-11-13,3.0
14,,0.0,New Probable 2020-11-14,3.0
15,,9.0,New Probable 2020-11-15,3.0
16,,0.0,New Probable 2020-11-16,3.0
17,,31.0,New Probable 2020-11-17,3.0
18,,11.0,New Probable 2020-11-18,3.0
19,,22.0,New Probable 2020-11-19,3.0
20,,10.0,New Probable 2020-11-20,3.0
21,,4.0,New Probable 2020-11-21,3.0
22,,0.0,New Probable 2020-11-22,3.0
23,,0.0,New Probable 2020-11-23,3.0
24,,4.0,New Probable 2020-11-24,3.0
25,,9.0,New Probable 2020-11-25,3.0
26,,9.0,New Probable 2020-11-26,3.0
27,,0.0,New Probable 2020-11-27,3.0
28,,0.0,New Probable 2020-11-28,3.0
29,,0.0,New Probable 2020-11-29,3.0
30,,0.0,New Probable 2020-11-30,3.0
31,,18.0,New Probable 2020-12-01,3.0
32,,5.0,New Probable 2020-12-02,3.0
33,,16.0,New Probable 2020-12-03,3.0
34,,33.0,New Probable 2020-12-04,3.0
35,,15.0,New Probable 2020-12-05,3.0
36,,0.0,New Probable 2020-12-06,3.0
37,,0.0,New Probable 2020-12-07,3.0
38,,15.0,New Probable 2020-12-08,3.0
39,,7.0,New Probable 2020-12-09,3.0
40,,14.0,New Probable 2020-12-10,3.0
41,,10.0,New Probable 2020-12-11,3.0
42,,15.0,New Probable 2020-12-12,3.0
43,,0.0,New Probable 2020-12-13,3.0
44,,0.0,New Probable 2020-12-14,3.0
45,,16.0,New Probable 2020-12-15,3.0
46,,3.0,New Probable 2020-12-16,3.0
47,,5.0,New Probable 2020-12-17,3.0
48,,7.0,New Probable 2020-12-18,3.0
49,,9.0,New Probable 2020-12-19,3.0
50,,0.0,New Probable 2020-12-20,3.0
51,,0.0,New Probable 2020-12-21,3.0
52,,21.0,New Probable 2020-12-22,3.0
53,,7.0,New Probable 2020-12-23,3.0
54,,12.0,New Probable 2020-12-24,3.0
55,,0.0,New Probable 2020-12-25,3.0
56,,0.0,New Probable 2020-12-26,3.0
57,,0.0,New Probable 2020-12-27,3.0
58,,0.0,New Probable 2020-12-28,3.0
59,,42.0,New Probable 2020-12-29,3.0
60,,10.0,New Probable 2020-12-30,3.0
61,,23.0,New Probable 2020-12-31,3.0
62,,19.0,New Probable 2021-01-01,3.0
63,,0.0,New Probable 2021-01-02,3.0
64,,0.0,New Probable 2021-01-03,3.0
65,,0.0,New Probable 2021-01-04,3.0
66,,46.0,New Probable 2021-01-05,3.0
67,,17.0,New Probable 2021-01-06,3.0
68,,21.0,New Probable 2021-01-07,3.0
69,,0.0,New Probable 2021-01-08,3.0
70,,28.0,New Probable 2021-01-09,3.0
71,,0.0,New Probable 2021-01-10,3.0
72,,0.0,New Probable 2021-01-11,3.0
73,,0.0,New Probable 2021-01-12,3.0
74,,46.0,New Probable 2021-01-13,3.0
75,,0.0,New Probable 2021-01-14,3.0
76,,29.0,New Probable 2021-01-15,3.0
77,,0.0,New Probable 2021-01-16,3.0
78,,13.0,New Probable 2021-01-17,3.0
79,,0.0,New Probable 2021-01-18,3.0
80,,0.0,New Probable 2021-01-19,3.0
81,,50.0,New Probable 2021-01-20,3.0
82,,4.0,New Probable 2021-01-21,3.0
83,,0.0,New Probable 2021-01-22,3.0
84,,10.0,New Probable 2021-01-23,3.0
85,,9.0,New Probable 2021-01-24,3.0
86,,0.0,New Probable 2021-01-25,3.0
87,,0.0,New Probable 2021-01-26,3.0
88,,14.0,New Probable 2021-01-27,3.0
89,,6.0,New Probable 2021-01-28,3.0
90,,13.0,New Probable 2021-01-29,3.0
91,,0.0,New Probable 2021-01-30,3.0
92,,3.0,New Probable 2021-01-31,3.0
93,,0.0,New Probable 2021-02-01,3.0
94,,0.0,New Probable 2021-02-02,3.0
